Company,Panda Link,Tax Name,Master Tax ID,Original Subject Wages,Original Gross Subject Wages,Original Amount,Corrected Subject Wages,Corrected Gross Subject Wages,Corrected Amount,Payment Amount,Comments,Unique ID,Period Requested,Y / Q,Tier,Wage diff,Gross wage diff,Tax Diff,Prepaid?,Type,Tax Lib,MasterTax Major,MT Paper/Efile,Reviewer,Week,Start Time,End Time,Status,Payment Made?,Fake News?,Notes,Root Cause,Helper,TRes
Five Islands Lobster Co. Inc,https://app.gusto.com/panda/companies/7757616923576142,Maine State Unemployment Tax,ME0000-010,"$39,003.98","$41,564.56",$592.86,$0.00,$0.00,$0.00,$0.00,"Amendment needed for Maine Unemployment Insurance exemption. Company has seasonal and year round employees and will file Maine Unemployment on their own. 03360966 (nini.berndt@gusto.com at Aug 02, 2019 at  9:45 AM)",2019243679.4020833333ME0000-0107757616923576142,8/2/2019,2019 2,Tier 1,"-$39,003.98","-$41,564.56",-$592.86,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",ME0000-010,Paper,Helper,12/9/2019,,,,,,,,,
Five Islands Lobster Co. Inc,https://app.gusto.com/panda/companies/7757616923576142,Maine CSSF,ME0000-145,"$39,003.98","$41,564.56",$23.40,$0.00,$0.00,$0.00,$0.00,"Amendment needed for Maine Unemployment Insurance exemption. Company has seasonal and year round employees and will file Maine Unemployment on their own. 03360966 (nini.berndt@gusto.com at Aug 02, 2019 at  9:45 AM)",2019243679.4020833333ME0000-0107757616923576142,8/2/2019,2019 2,Tier 1,"-$39,003.98","-$41,564.56",-$23.40,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",ME0000-010,Paper,Helper,12/9/2019,,,,,,,,,
FIXD Automotive Inc,https://app.gusto.com/panda/companies/7757616923760269,Georgia State Tax,GA0000-001,"$222,879.24","$222,879.24","$10,364.73","$221,666.85","$221,666.85","$10,364.73",$0.00,,2019243664.5465277778GA0000-0017757616923760269,7/12/2019,2019 2,Tier 2,"-$1,212.39","-$1,212.39",$0.00,No,SW reduction,"Employee was overpaid wages, funds have been recouped",GA0000-001,Hand Key,Garrett,12/9/2019,,12/12/2019,Done,No,Yes,No change in TW ,Benefit,,21.0
FIXD Automotive Inc,https://app.gusto.com/panda/companies/7757616923760269,Georgia Administrative Assessment Tax,GA0000-128,"$38,916.44","$222,873.12",$23.35,"$39,724.84","$221,660.73",$23.83,$6.10,,2019243664.5465277778GA0000-0107757616923760269,7/12/2019,2019 2,Tier 1,$808.40,"-$1,212.39",$0.48,Investigate,SW reduction,"Employee was overpaid wages, funds have been recouped",GA0000-010,Paper,Baker,12/9/2019,,12/9/2019,Done,Yes,No,sent 12/10,Benefit,,21.0
FIXD Automotive Inc,https://app.gusto.com/panda/companies/7757616923760269,Georgia State Unemployment Tax,GA0000-010,"$38,916.44","$222,873.12","$1,237.52","$39,724.84","$221,660.73","$1,263.22",$55.51,,2019243664.5465277778GA0000-0107757616923760269,7/12/2019,2019 2,Tier 1,$808.40,"-$1,212.39",$25.70,Investigate,SW reduction,"Employee was overpaid wages, funds have been recouped",GA0000-010,Paper,Baker,12/9/2019,,12/9/2019,Done,Yes,No,sent 12/10,Benefit,,21.0
"Fixel, LLC",https://app.gusto.com/panda/companies/7757616923616264,OR State Unemployment Insurance Tax,OR0000-010,"$9,999.99","$9,999.99",$251.01,$0.00,$0.00,$0.00,$0.00,,2019143670.3215277778OR0000-9007757616923616264,7/19/2019,2019 1,Tier 2,"-$9,999.99","-$9,999.99",-$251.01,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",OR0000-900,Paper,Dan,12/9/2019,,12/12/2019,Done,No,No,,Reversal,,20.0
"Fixel, LLC",https://app.gusto.com/panda/companies/7757616923616264,OR State Unemployment Insurance Tax,OR0000-010,"$9,999.99","$9,999.99",$260.00,$0.00,$0.00,$0.00,$0.00,,2019243670.3215277778OR0000-9007757616923616264,7/19/2019,2019 2,Tier 2,"-$9,999.99","-$9,999.99",-$260.00,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",OR0000-900,Paper,Dan,12/9/2019,,12/12/2019,Done,No,No,,Reversal,,20.0
"Fixel, LLC",https://app.gusto.com/panda/companies/7757616923616264,OR Special Payroll Tax Offset,OR0000-133,"$9,999.99","$9,999.99",$9.00,$0.00,$0.00,$0.00,$0.00,,2019143670.3215277778OR0000-9007757616923616264,7/19/2019,2019 1,Tier 2,"-$9,999.99","-$9,999.99",-$9.00,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",OR0000-900,Paper,Dan,12/9/2019,,12/12/2019,Done,No,No,,Reversal,,20.0
"Flight Evolved, LLC",https://app.gusto.com/panda/companies/7757616923594296,Trimet Excise Tax,OR0101-134,"$33,328.61","$33,328.61",$254.52,"$33,525.25","$33,525.25",$256.02,$1.50,"Employee Nathan Kohrmann was over-deducted for pre-tax benefits in Q2. Had to make corrections to his wages as the over-deductions were liable for taxes 03516544 (maireny.medina@gusto.com at Sep 24, 2019 at  8:50 AM)",2019243732.3659722222OR0000-9007757616923594296,9/20/2019,2019 2,Tier 2,$196.64,$196.64,$1.50,Investigate,SW increase,"Administrative error, employee payroll was not included on the original return",OR0000-900,Paper,Dan,12/9/2019,,12/13/2019,Done,Yes,No,"217116556
",Benefit,,12.0
"Flight Evolved, LLC",https://app.gusto.com/panda/companies/7757616923594296,OR State Unemployment Insurance Tax,OR0000-010,"$32,959.44","$33,230.51",$296.64,"$32,962.82","$33,427.15",$296.66,$0.88,"Employee Nathan Kohrmann was over-deducted for pre-tax benefits in Q2. Had to make corrections to his wages as the over-deductions were liable for taxes 03516544 (maireny.medina@gusto.com at Sep 24, 2019 at  8:50 AM)",2019243732.3659722222OR0000-9007757616923594296,9/20/2019,2019 2,Tier 2,$3.38,$196.64,$0.02,Investigate,SW increase,"Administrative error, employee payroll was not included on the original return",OR0000-900,Paper,Dan,12/9/2019,,12/13/2019,Done,Yes,No,217116554,Benefit,,12.0
"Flight Evolved, LLC",https://app.gusto.com/panda/companies/7757616923594296,Oregon Employee Statewide Transit Tax,OR0000-135,"$33,034.37","$33,034.37",$33.03,"$33,231.01","$33,231.01",$33.23,$0.20,"Employee Nathan Kohrmann was over-deducted for pre-tax benefits in Q2. Had to make corrections to his wages as the over-deductions were liable for taxes 03516544 (maireny.medina@gusto.com at Sep 24, 2019 at  8:50 AM)",2019243732.3659722222OR0000-1357757616923594296,9/20/2019,2019 2,Tier 3,$196.64,$196.64,$0.20,No,SW increase,"Administrative error, employee payroll was not included on the original return",OR0000-135,Paper,Ryan,12/9/2019,,12/11/2019,Done,Yes,No,Processed benefit adjuster per ER request. This EE has benefits covered 100% by the company per their class-based contribution scheme,Benefit,,11.0
"Flight Evolved, LLC",https://app.gusto.com/panda/companies/7757616923594296,Oregon State Withholding Tax,OR0000-001,"$33,034.37","$33,034.37","$1,911.00","$33,231.01","$33,231.01","$1,911.00",$0.00,"Employee Nathan Kohrmann was over-deducted for pre-tax benefits in Q2. Had to make corrections to his wages as the over-deductions were liable for taxes 03516544 (maireny.medina@gusto.com at Sep 24, 2019 at  8:50 AM)",2019243732.3659722222OR0000-9007757616923594296,9/20/2019,2019 2,Tier 2,$196.64,$196.64,$0.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",OR0000-900,Paper,Dan,12/9/2019,,12/13/2019,Done,Yes,No,"DP ID: 1290005
",Benefit,,12.0
Flip N Axe,https://app.gusto.com/panda/companies/7757616923778718,Warren County - OLTS,KY9000-138,"$4,103.47","$4,103.47",$20.51,$0.00,$0.00,$0.00,$0.00,"\Mark company return for Q2 2019 as needing amendment\ Company indicated that they are exempt from all Warren County taxes. This amendment will update the subject wages and tax amounts for all employees in Warren County (03766637)  (samuel.devine@gusto.com at Oct 03, 2019 at  9:05 AM)",2019243741.3673611111KY9000-1387757616923778718,9/27/2019,2019 2,Tier 3,"-$4,103.47","-$4,103.47",-$20.51,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",KY9000-138,Manual,,,,,,,,,,,
Flip N Axe,https://app.gusto.com/panda/companies/7757616923778718,Kentucky Service Capacity Upgrade Fund Surcharge Tax,KY0000-133,$0.00,$0.00,$0.19,"$4,430.74","$4,430.74",$3.32,$3.13,"\Mark company return for Q2 2019 as needing amendment\ Company indicated that they are exempt from all Warren County taxes. This amendment will update the subject wages and tax amounts for all employees in Warren County (03766637)  (samuel.devine@gusto.com at Oct 03, 2019 at  9:05 AM)",2019243741.3673611111KY0000-1337757616923778718,9/27/2019,2019 2,Tier 3,"$4,430.74","$4,430.74",$3.13,No,SW increase,"Administrative error, employee payroll was not included on the original return",KY0000-133,Manual,,,,,,,,,,,
Flourish Software Inc.,https://app.gusto.com/panda/companies/7757616923771571,Georgia State Unemployment Tax,GA0000-010,"$95,277.68","$172,272.43","$2,515.32","$91,046.91","$168,041.66","$2,403.63",$0.00,"SFDC: 03287695 -- ran MWC for ee Hardick to correct SS and Medicare that were withheld incorrectly. Marking Q2 for amendment.  (justin.buck@gusto.com at Jul 18, 2019 at  8:11 AM)",2019243664.3409722222GA0000-0107757616923771571,7/12/2019,2019 2,Tier 1,"-$4,230.77","-$4,230.77",-$111.69,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",GA0000-010,Paper,Baker,12/9/2019,,12/9/2019,Done,No,No,sent 12/10,Reversal,,21.0
Flourish Software Inc.,https://app.gusto.com/panda/companies/7757616923771571,North Carolina State Unemployment Tax,NC0000-010,$0.00,$0.00,$0.00,"$4,230.77","$4,230.77",$42.31,$0.00,"SFDC: 03287695 -- ran MWC for ee Hardick to correct SS and Medicare that were withheld incorrectly. Marking Q2 for amendment.  (justin.buck@gusto.com at Jul 18, 2019 at  8:11 AM)",2019243664.3409722222NC0000-0107757616923771571,7/12/2019,2019 2,Tier 1,"$4,230.77","$4,230.77",$42.31,Yes,SW increase,"Administrative error, employee payroll was not included on the original return",NC0000-010,Paper,Ben,12/9/2019,,12/10/2019,Done,No,Yes,No Original FIle,Benefit,,21.0
Flourish Software Inc.,https://app.gusto.com/panda/companies/7757616923771571,Georgia State Tax,GA0000-001,"$172,272.43","$172,272.43","$8,631.55","$168,041.66","$168,041.66","$8,462.28",$0.00,"SFDC: 03287695 -- ran MWC for ee Hardick to correct SS and Medicare that were withheld incorrectly. Marking Q2 for amendment.  (justin.buck@gusto.com at Jul 18, 2019 at  8:11 AM)",2019243664.3409722222GA0000-0017757616923771571,7/12/2019,2019 2,Tier 2,"-$4,230.77","-$4,230.77",-$169.27,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",GA0000-001,Hand Key,Garrett,12/9/2019,,,,,,,,,
Flourish Software Inc.,https://app.gusto.com/panda/companies/7757616923771571,Georgia Administrative Assessment Tax,GA0000-128,"$95,277.68","$172,272.43",$57.17,"$91,046.91","$168,041.66",$54.63,$0.00,"SFDC: 03287695 -- ran MWC for ee Hardick to correct SS and Medicare that were withheld incorrectly. Marking Q2 for amendment.  (justin.buck@gusto.com at Jul 18, 2019 at  8:11 AM)",2019243664.3409722222GA0000-0107757616923771571,7/12/2019,2019 2,Tier 1,"-$4,230.77","-$4,230.77",-$2.54,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",GA0000-010,Paper,Baker,12/9/2019,,12/9/2019,Done,No,No,sent 12/10,Reversal,,21.0
Flourish Software Inc.,https://app.gusto.com/panda/companies/7757616923771571,North Carolina State Tax,NC0000-001,$0.00,$0.00,$0.00,"$4,230.77","$4,230.77",$0.00,$0.00,"SFDC: 03287695 -- ran MWC for ee Hardick to correct SS and Medicare that were withheld incorrectly. Marking Q2 for amendment.  (justin.buck@gusto.com at Jul 18, 2019 at  8:11 AM)",2019243664.3409722222NC0000-0017757616923771571,7/12/2019,2019 2,Tier 3,"$4,230.77","$4,230.77",$0.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",NC0000-001,Paper,Baker,12/9/2019,,12/12/2019,Done,No,Yes,no tax change,,,21.0
"Flowhub, LLC",https://app.gusto.com/panda/companies/7757616923499168,Colorado State Withholding Tax,CO0000-001,"$1,159,763.67","$1,159,763.67","$48,839.00","$1,159,981.41","$1,159,981.41","$48,840.08",$1.08,"marking for amendment because we backed out a pre-tax benefit for employee Stephen D. Smith 02970130 (kelly.harrison@gusto.com at Jul 18, 2019 at  8:35 AM)",2019243664.3569444444CO0000-0017757616923499168,7/12/2019,2019 2,Tier 1,$217.74,$217.74,$1.08,No,SW increase,"Administrative error, employee payroll was not included on the original return",CO0000-001,Conga,,,,,,,,,,,
"Flowhub, LLC",https://app.gusto.com/panda/companies/7757616923499168,Colorado State Unemployment Insurance Tax,CO0000-010,"$185,776.41","$1,205,786.52","$4,588.66","$185,776.41","$1,206,004.26","$4,588.66",$0.00,"marking for amendment because we backed out a pre-tax benefit for employee Stephen D. Smith 02970130 (kelly.harrison@gusto.com at Jul 18, 2019 at  8:35 AM)",2019243664.3569444444CO0000-0107757616923499168,7/12/2019,2019 2,Tier 2,$0.00,$217.74,$0.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",CO0000-010,Manual,Helper,12/9/2019,,,,,,,,,
Fluent Forever,https://app.gusto.com/panda/companies/7757616923705422,Kentucky Service Capacity Upgrade Fund Surcharge Tax,KY0000-133,$0.00,$0.00,$0.00,"$8,749.98","$8,749.98",$6.54,$0.00,,2019143636.4319444444KY0000-1337757616923705422,6/14/2019,2019 1,Tier 3,"$8,749.98","$8,749.98",$6.54,Yes,SW increase,"Administrative error, employee payroll was not included on the original return",KY0000-133,Manual,,,,,,,,,,,
Fluent Forever,https://app.gusto.com/panda/companies/7757616923705422,Warren County - OLTS,KY9000-138,$0.00,$0.00,$0.00,"$8,749.98","$8,749.98",,$0.00,,2019143636.4319444444KY9000-1387757616923705422,6/14/2019,2019 1,Tier 3,"$8,749.98","$8,749.98",$0.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",KY9000-138,Manual,,,,,,,,,,,
"Flyreel, Inc.",https://app.gusto.com/panda/companies/7757616923713410,Colorado State Unemployment Insurance Tax,CO0000-010,"$45,694.23","$185,689.10",$548.33,"$35,382.69","$149,439.08",$424.59,$0.00,,2019243742.6805555556CO0000-0107757616923713410,10/4/2019,2019 2,Tier 2,"-$10,311.54","-$36,250.02",-$123.74,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",CO0000-010,Manual,Helper,12/9/2019,,,,,,,,,
"Flyreel, Inc.",https://app.gusto.com/panda/companies/7757616923713410,"Denver OPT, for employers",CO0080-137,"$31,054.48","$31,054.48",$28.00,"$28,266.02","$28,266.02",$24.00,$0.00,,2019143742.6791666667CO0080-0517757616923713410,10/4/2019,2019 1,Tier 3,"-$2,788.46","-$2,788.46",-$4.00,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",CO0080-051,Manual,Dan,12/9/2019,,12/9/2019,Done,No,No,,Reversal,,9.0
"Flyreel, Inc.",https://app.gusto.com/panda/companies/7757616923713410,"Denver OPT, for employers",CO0080-137,"$62,147.44","$62,147.44",$56.00,"$44,022.43","$44,022.43",$44.00,$0.00,,2019243742.6805555556CO0080-0517757616923713410,10/4/2019,2019 2,Tier 3,"-$18,125.01","-$18,125.01",-$12.00,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",CO0080-051,Manual,,,,,,,,,,,
"Flyreel, Inc.",https://app.gusto.com/panda/companies/7757616923713410,Colorado State Withholding Tax,CO0000-001,"$175,104.47","$175,104.47","$6,822.00","$138,854.45","$138,854.45","$5,334.00",$0.00,,2019243742.6805555556CO0000-0017757616923713410,10/4/2019,2019 2,Tier 1,"-$36,250.02","-$36,250.02","-$1,488.00",Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",CO0000-001,Conga,,,,,,,,,,,
"Flyreel, Inc.",https://app.gusto.com/panda/companies/7757616923713410,"Denver OPT, for employees",CO0080-051,"$132,564.10","$132,564.10",$80.50,"$96,314.08","$96,314.08",$63.25,$0.00,,2019243742.6805555556CO0080-0517757616923713410,10/4/2019,2019 2,Tier 3,"-$36,250.02","-$36,250.02",-$17.25,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",CO0080-051,Manual,,,,,,,,,,,
"Flyreel, Inc.",https://app.gusto.com/panda/companies/7757616923713410,Colorado State Withholding Tax,CO0000-001,"$83,088.13","$83,088.13","$3,435.00","$80,299.67","$80,299.67","$3,338.00",$0.00,,2019143742.6791666667CO0000-0017757616923713410,10/4/2019,2019 1,Tier 1,"-$2,788.46","-$2,788.46",-$97.00,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",CO0000-001,Conga,,,,,,,,,,,
"Flyreel, Inc.",https://app.gusto.com/panda/companies/7757616923713410,"Denver OPT, for employees",CO0080-051,"$47,131.40","$47,131.40",$40.25,"$44,342.94","$44,342.94",$34.50,$0.00,,2019143742.6791666667CO0080-0517757616923713410,10/4/2019,2019 1,Tier 3,"-$2,788.46","-$2,788.46",-$5.75,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",CO0080-051,Manual,Dan,12/9/2019,,12/9/2019,Done,No,No,,Reversal,,9.0
"Flyreel, Inc.",https://app.gusto.com/panda/companies/7757616923713410,Colorado State Unemployment Insurance Tax,CO0000-010,"$43,331.40","$84,150.63",$519.98,"$40,542.94","$81,362.17",$486.52,$0.00,,2019143742.6791666667CO0000-0107757616923713410,10/4/2019,2019 1,Tier 2,"-$2,788.46","-$2,788.46",-$33.46,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",CO0000-010,Manual,Helper,12/9/2019,,,,,,,,,
"Flyreel, Inc.",https://app.gusto.com/panda/companies/7757616923713410,"Denver OPT, for employees",CO0080-051,"$107,499.96","$124,152.46",$63.25,"$107,499.96","$136,235.80",$74.75,$11.50,,2019343749.5694444444CO0080-0517757616923713410,10/11/2019,2019 3,Tier 3,$0.00,"$12,083.34",$11.50,No,SW increase,"Administrative error, employee payroll was not included on the original return",CO0080-051,Manual,,,,,,,,,,,
"Flyreel, Inc.",https://app.gusto.com/panda/companies/7757616923713410,"Denver OPT, for employers",CO0080-137,"$56,249.98","$61,249.98",$44.00,"$56,249.98","$73,333.32",$52.00,$8.00,,2019343749.5694444444CO0080-0517757616923713410,10/11/2019,2019 3,Tier 3,$0.00,"$12,083.34",$8.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",CO0080-051,Manual,,,,,,,,,,,
Fndrz Ltd,https://app.gusto.com/panda/companies/7757616923521576,Virginia Income Tax,VA0000-001,$0.00,$0.00,$0.00,"$2,400.00","$2,400.00",$0.00,$0.00,"amending Q1 2019 for changes in work addresses - Guy J and Patrick C from OH to IN  (jody.eckman@gusto.com at Jul 09, 2019 at  9:06 AM)",2019143590.3715277778VA0000-0017757616923521576,5/3/2019,2019 1,Tier 2,"$2,400.00","$2,400.00",$0.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",VA0000-001,Hand Key,Ben,12/2/2019,,12/6/2019,Done,No,Yes,No Amend b/c no tax diff. change,State Tax,,31.0
Fndrz Ltd,https://app.gusto.com/panda/companies/7757616923521576,Indiana State Withholding Tax,IN0000-001,$0.00,$0.00,$0.00,"$4,800.00","$4,800.00",$0.00,$0.00,"amending Q1 2019 for changes in work addresses - Guy J and Patrick C from OH to IN  (jody.eckman@gusto.com at Jul 09, 2019 at  9:06 AM)",2019143590.3715277778IN0000-0017757616923521576,5/3/2019,2019 1,Tier 1,"$4,800.00","$4,800.00",$0.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",IN0000-001,Manual,,,,,,,,,,,
Fndrz Ltd,https://app.gusto.com/panda/companies/7757616923521576,Columbus City Tax,OH1098-001R,$0.00,$0.00,$0.00,"$2,400.00","$2,400.00",$60.00,$60.00,"amending Q1 2019 for changes in work addresses - Guy J and Patrick C from OH to IN  (jody.eckman@gusto.com at Jul 09, 2019 at  9:06 AM)",2019143590.3715277778OH1098-001R7757616923521576,5/3/2019,2019 1,Tier 3,"$2,400.00","$2,400.00",$60.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",OH1098-001R,Manual,,,,,,,,,,,
Fndrz Ltd,https://app.gusto.com/panda/companies/7757616923521576,Indiana State Unemployment Insurance Tax,IN0000-010,$0.00,$0.00,$0.00,"$4,800.00","$4,800.00",$120.00,$120.00,"amending Q1 2019 for changes in work addresses - Guy J and Patrick C from OH to IN  (jody.eckman@gusto.com at Jul 09, 2019 at  9:06 AM)",2019143590.3715277778IN0000-0107757616923521576,5/3/2019,2019 1,Tier 1,"$4,800.00","$4,800.00",$120.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",IN0000-010,Paper,Logan,12/9/2019,,,,,,,,,
Fndrz Ltd,https://app.gusto.com/panda/companies/7757616923521576,Marion County Tax,IN0049-001,$0.00,$0.00,$0.00,"$4,800.00","$4,800.00",$96.96,$96.96,"amending Q1 2019 for changes in work addresses - Guy J and Patrick C from OH to IN  (jody.eckman@gusto.com at Jul 09, 2019 at  9:06 AM)",2019143590.3715277778IN0000-0017757616923521576,5/3/2019,2019 1,Tier 1,"$4,800.00","$4,800.00",$96.96,No,SW increase,"Administrative error, employee payroll was not included on the original return",IN0000-001,Manual,,,,,,,,,,,
Fndrz Ltd,https://app.gusto.com/panda/companies/7757616923521576,Columbus City Tax,OH1098-001,"$16,800.00","$16,800.00",$420.00,"$2,400.00","$2,400.00",$60.00,$0.00,"amending Q1 2019 for changes in work addresses - Guy J and Patrick C from OH to IN  (jody.eckman@gusto.com at Jul 09, 2019 at  9:06 AM)",2019143590.3715277778OH1098-0017757616923521576,5/3/2019,2019 1,Tier 2,"-$14,400.00","-$14,400.00",-$360.00,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",OH1098-001,Manual,,,,,,,,,,,
Fndrz Ltd,https://app.gusto.com/panda/companies/7757616923521576,Virginia Unemployment Insurance Tax,VA0000-010,$0.00,$0.00,$0.00,"$2,400.00","$2,400.00",$60.24,$60.24,"amending Q1 2019 for changes in work addresses - Guy J and Patrick C from OH to IN  (jody.eckman@gusto.com at Jul 09, 2019 at  9:06 AM)",2019143590.3715277778VA0000-0107757616923521576,5/3/2019,2019 1,Tier 1,"$2,400.00","$2,400.00",$60.24,No,SW increase,"Administrative error, employee payroll was not included on the original return",VA0000-010,Paper,Ben,12/9/2019,,12/10/2019,Done,Yes,No,Paid - Done - 217608613,State Tax,,31.0
Fond,https://app.gusto.com/panda/companies/7757616923736577,Louisville / Jefferson County - OLTS,KY0247-053,$380.00,$380.00,$2.85,"$1,520.00","$1,520.00",$11.40,$8.55,"Marking for amendment. Employee was missing payments she received in Q1 added them and debiting for taxes.  (tattie.petts@gusto.com at May 21, 2019 at 10:09 AM)",2019143606.4138888889KY0247-1387757616923736577,5/17/2019,2019 1,Tier 3,"$1,140.00","$1,140.00",$8.55,No,SW increase,"Administrative error, employee payroll was not included on the original return",KY0247-138,Manual,,,,,,,,,,,
Fond,https://app.gusto.com/panda/companies/7757616923736577,Kentucky Service Capacity Upgrade Fund Surcharge Tax,KY0000-133,$0.00,$0.00,$0.00,"$1,140.00","$1,140.00",$0.87,$0.87,"Marking for amendment. Employee was missing payments she received in Q1 added them and debiting for taxes.  (tattie.petts@gusto.com at May 21, 2019 at 10:09 AM)",2019143606.4138888889KY0000-1337757616923736577,5/17/2019,2019 1,Tier 3,"$1,140.00","$1,140.00",$0.87,No,SW increase,"Administrative error, employee payroll was not included on the original return",KY0000-133,Manual,,,,,,,,,,,
Fond,https://app.gusto.com/panda/companies/7757616923736577,Louisville / Jefferson County - OLF,KY0247-138,$380.00,$380.00,$5.51,"$1,520.00","$1,520.00",$22.04,$16.53,"Marking for amendment. Employee was missing payments she received in Q1 added them and debiting for taxes.  (tattie.petts@gusto.com at May 21, 2019 at 10:09 AM)",2019143606.4138888889KY0247-1387757616923736577,5/17/2019,2019 1,Tier 3,"$1,140.00","$1,140.00",$16.53,No,SW increase,"Administrative error, employee payroll was not included on the original return",KY0247-138,Manual,,,,,,,,,,,
Fond,https://app.gusto.com/panda/companies/7757616923736577,Kentucky Withholding Tax,KY0000-001,$380.00,$380.00,$14.02,"$1,520.00","$1,520.00",$56.08,$42.06,"Marking for amendment. Employee was missing payments she received in Q1 added them and debiting for taxes.  (tattie.petts@gusto.com at May 21, 2019 at 10:09 AM)",2019143606.4138888889KY0000-0017757616923736577,5/17/2019,2019 1,Tier 3,"$1,140.00","$1,140.00",$42.06,No,SW increase,"Administrative error, employee payroll was not included on the original return",KY0000-001,Paper,Helper,12/9/2019,,,,,,,,,
Fond,https://app.gusto.com/panda/companies/7757616923736577,Kentucky Unemployment Tax,KY0000-010,$380.00,$380.00,$10.26,"$1,520.00","$1,520.00",$41.04,$30.78,"Marking for amendment. Employee was missing payments she received in Q1 added them and debiting for taxes.  (tattie.petts@gusto.com at May 21, 2019 at 10:09 AM)",2019143606.4138888889KY0000-0107757616923736577,5/17/2019,2019 1,Tier 1,"$1,140.00","$1,140.00",$30.78,No,SW increase,"Administrative error, employee payroll was not included on the original return",KY0000-010,Paper,Logan,12/9/2019,,,,,,,,,
FoodFinder,https://app.gusto.com/panda/companies/7757616923778448,Georgia State Unemployment Tax,GA0000-010,"$7,791.67","$7,791.67",$0.00,$0.00,$0.00,$0.00,$0.00,"Company is a 501(c)(3) and not liable for GA Unemployment. Corrections processed to remove reported wages for Q2 2019. (03384794) (joshua.wilmot@gusto.com at Aug 07, 2019 at  9:58 AM)",2019243684.4118055556GA0000-0107757616923778448,8/2/2019,2019 2,Tier 1,"-$7,791.67","-$7,791.67",$0.00,No,SW reduction,"Employee was overpaid wages, funds have been recouped",GA0000-010,Paper,Baker,12/9/2019,,12/9/2019,Needs Assistance,No,No,does not show up in MT. Might be fake news as its dealing with 501 c3,Exemption,,18.0
FortressIQ,https://app.gusto.com/panda/companies/7757616923629717,North Carolina State Tax,NC0000-001,"$17,291.67","$17,291.67",$869.00,"$49,166.68","$49,166.68",$869.00,$0.00,"moved ee Aaron's wages from CA to NC- wrong work address listed in Gusto per 03452933 (samuel.whitmore@gusto.com at Aug 22, 2019 at 12:59 PM)",2019243699.5229166667NC0000-0017757616923629717,8/16/2019,2019 2,Tier 3,"$31,875.01","$31,875.01",$0.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",NC0000-001,Paper,Baker,12/9/2019,,12/12/2019,Done,No,Yes,no tax change,,,16.0
FortressIQ,https://app.gusto.com/panda/companies/7757616923629717,North Carolina State Unemployment Tax,NC0000-010,"$17,291.67","$17,291.67",$172.92,"$24,300.00","$49,166.68",$243.00,$70.08,"Moved ee Aaron's wages from CA to NC- wrong work address listed in Gusto per 03452933 (samuel.whitmore@gusto.com at Aug 22, 2019 at 12:59 PM)",2019243699.5229166667NC0000-0107757616923629717,8/16/2019,2019 2,Tier 1,"$7,008.33","$31,875.01",$70.08,No,SW increase,"Administrative error, employee payroll was not included on the original return",NC0000-010,Paper,Ben,12/9/2019,,12/10/2019,Done,Yes,No,Paid - Done,State Tax,,16.0
Forward I T Solutions LLC,https://app.gusto.com/panda/companies/7757616923616330,"Denver OPT, for employees",CO0080-051,"$256,390.72","$257,163.80",$212.75,"$256,390.72","$259,163.80",$218.50,$5.75,,2019343749.5701388889CO0080-0517757616923616330,10/11/2019,2019 3,Tier 3,$0.00,"$2,000.00",$5.75,No,SW increase,"Administrative error, employee payroll was not included on the original return",CO0080-051,Manual,,,,,,,,,,,
Forward I T Solutions LLC,https://app.gusto.com/panda/companies/7757616923616330,"Denver OPT, for employers",CO0080-137,"$128,166.64","$128,166.64",$148.00,"$128,166.64","$130,166.64",$152.00,$4.00,,2019343749.5701388889CO0080-0517757616923616330,10/11/2019,2019 3,Tier 3,$0.00,"$2,000.00",$4.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",CO0080-051,Manual,,,,,,,,,,,
